timestamp,symbol,amount
2025-01-23T01:16:42.965092,BTC,2e-06
2025-01-23T01:16:42.965092,ETH,0.003612
2025-01-23T01:17:33.028576,BTC,2e-06
2025-01-23T01:17:33.028576,ETH,0.003612
2025-01-23T01:18:27.696563,BTC,2e-06
2025-01-23T01:18:27.696563,ETH,0.003612
2025-01-23T01:19:34.144227,BTC,2e-06
2025-01-23T01:19:34.144227,ETH,0.003612
2025-01-23T01:24:35.368062,BTC,2e-06
2025-01-23T01:24:35.368062,ETH,0.003612
2025-01-23T04:17:43.669518,BTC,2e-06
2025-01-23T04:17:43.669518,ETH,0.003612
2025-01-23T04:29:06.009015,BTC,2e-06
2025-01-23T04:29:06.009015,ETH,0.003612
2025-01-23T05:30:03.223073,BTC,2e-06
2025-01-23T05:30:03.223073,ETH,0.003612
2025-01-23T05:43:42.819195,BTC,2e-06
2025-01-23T05:43:42.819195,ETH,0.003612
2025-01-23T06:31:05.271275,BTC,2e-06
2025-01-23T06:31:05.271275,ETH,0.003612
2025-01-23T07:31:56.046053,BTC,2e-06
2025-01-23T07:31:56.046053,ETH,0.003612
2025-01-23T08:23:01.681458,BTC,2e-06
2025-01-23T08:23:01.681458,ETH,0.003612
2025-01-23T09:15:23.589797,BTC,2e-06
2025-01-23T09:15:23.589797,ETH,0.003612
2025-01-27T10:02:18.054886,BTC,2e-06
2025-01-27T10:02:18.054886,ETH,0.003612
2025-01-27T10:02:18.054886,USDT,0.000101
2025-01-27T10:03:05.080357,BTC,2e-06
2025-01-27T10:03:05.080357,ETH,0.003612
2025-01-27T10:03:05.080357,USDT,0.000101
2025-01-27T10:03:53.885124,BTC,2e-06
2025-01-27T10:03:53.885124,ETH,0.003612
2025-01-27T10:03:53.885124,USDT,0.000101
2025-01-27T10:04:46.436954,BTC,2e-06
2025-01-27T10:04:46.436954,ETH,0.003612
2025-01-27T10:04:46.436954,USDT,0.000101
2025-01-27T10:12:50.182500,BTC,2e-06
2025-01-27T10:12:50.182500,ETH,0.003612
2025-01-27T10:12:50.182500,USDT,0.000101
2025-01-27T15:30:36.978956,BTC,2e-06
2025-01-27T15:30:36.978956,ETH,0.003612
2025-01-27T15:30:36.978956,USDT,0.000101
2025-01-27T15:31:24.468069,BTC,2e-06
2025-01-27T15:31:24.468069,ETH,0.003612
2025-01-27T15:31:24.468069,USDT,0.000101
2025-01-27T15:32:13.091028,BTC,2e-06
2025-01-27T15:32:13.091028,ETH,0.003612
