timestamp,moneda_inicial,cantidad_inicial,moneda_final,cantidad_final
2025-01-14T23:55:13.162138,BTC,0.00012137,BTC,0.00012137
2025-01-14T23:56:33.680047,BTC,0.00012128,ETH,0.0036541126845435375
2025-01-15T15:07:16.008324,ETH,0.00361564,BTC,0.0001219193808
2025-01-15T15:08:36.894100,BTC,0.00012303,ETH,0.0036464137522228806
